customer_id,last_order_date,recency,frequency,monetary,r_score,f_score,m_score,rfm_segment
100001,2025-11-25,37,25,19246.07,5,5,5,Champions
100002,2025-12-11,21,2,1410.3200000000002,5,2,4,Potential Loyalists
100004,2025-03-20,287,2,878.8399999999999,2,2,3,Lost
100005,2024-04-05,636,2,402.81,1,2,2,Lost
100006,2025-10-30,63,13,4349.85,4,5,5,Champions
100007,2025-04-23,253,1,410.48,3,1,2,Others
100008,2025-08-24,130,15,12468.14,3,5,5,Loyal
100009,2024-07-01,549,2,436.9,1,2,2,Lost
100010,2025-09-02,121,3,455.94,4,3,2,Potential Loyalists
100011,2025-01-10,356,2,869.8,2,2,3,Lost
100012,2024-06-02,578,1,1250.49,1,1,3,Lost
100013,2025-02-28,307,7,3844.8,2,5,5,At Risk
100014,2025-12-11,21,4,2034.8600000000001,5,4,4,Champions
100016,2025-03-15,292,2,141.95,2,2,1,Lost
100018,2025-07-31,154,1,355.86,3,1,2,Others
100020,2024-12-10,387,1,811.5899999999999,2,1,3,Lost
100021,2025-10-17,76,2,520.8199999999999,4,2,2,Potential Loyalists
100022,2025-07-26,159,1,814.59,3,1,3,Others
100023,2025-11-17,45,8,3442.69,4,5,5,Champions
100024,2025-06-18,197,4,366.37,3,4,2,Others
100025,2025-05-26,220,1,667.51,3,1,2,Others
100027,2025-12-16,16,2,578.73,5,2,2,Potential Loyalists
100028,2024-07-03,547,2,604.4000000000001,1,2,2,Lost
100029,2025-07-30,155,5,2317.9,3,4,4,Loyal
100030,2025-07-24,161,3,813.25,3,3,3,Others
100031,2025-12-25,7,23,16173.45,5,5,5,Champions
100032,2024-06-05,575,1,71.94,1,1,1,Lost
100033,2025-03-29,278,1,1133.79,3,1,3,Others
100034,2024-06-09,571,1,107.84,1,1,1,Lost
100036,2024-03-02,670,1,97.63,1,1,1,Lost
100037,2025-03-11,296,2,1532.28,2,2,4,Lost
100038,2025-09-17,106,4,1151.11,4,4,3,Loyal
100040,2025-12-25,7,16,7837.889999999999,5,5,5,Champions
100041,2025-12-28,4,5,1479.1399999999999,5,4,4,Champions
